/bin/bash: /Users/danielstevenrodriguezsandoval/Desktop/trabajo bogota 2026/poly-agent/scripts/daily_validation.sh: Operation not permitted
=== Wed Mar  4 07:06:35 -05 2026 Daily Validation Run ===
Running Manifold paper trading...
2026-03-04 07:09:55,149 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/QSORS6npnp "HTTP/1.1 200 OK"
2026-03-04 07:09:55,392 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AUdIqgAspc "HTTP/1.1 200 OK"
2026-03-04 07:09:55,583 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:55,675 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:55,830 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:55,991 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:56,080 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:56,234 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:56,670 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:57,187 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:57,291 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:57,518 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-04 07:09:57,694 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/26sn2AIUgs "HTTP/1.1 200 OK"
2026-03-04 07:10:02,383 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/PLS9ZCLzth "HTTP/1.1 200 OK"
2026-03-04 07:10:03,706 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nLRun2NyU8 "HTTP/1.1 200 OK"
2026-03-04 07:10:05,991 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AZ0IIQ9c2q "HTTP/1.1 200 OK"
2026-03-04 07:10:05,993 | INFO | watchdog.scripts.run_paper_trading | paper_summary markets_checked=79 signals_generated=0 bets_placed=0 exits=0 running_pnl_estimate=-54.0619
=== Fri Mar  6 10:13:18 -05 2026 Daily Validation Run ===
Running Manifold paper trading...
2026-03-06 10:13:27,108 | WARNING | watchdog.scripts.run_paper_trading | Paper trading mode started | platform=manifold virtual_bankroll=500.00
2026-03-06 10:13:28,100 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/markets?limit=80 "HTTP/1.1 200 OK"
2026-03-06 10:13:28,324 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/syR2E2OC9l "HTTP/1.1 200 OK"
