trade_id,date,strategy,position_size,pnl,running_balance
235,2026-03-09,calibration,65.9562,0.0,659.5622
237,2026-03-09,calibration,65.9562,0.0,659.5622
238,2026-03-09,calibration,65.9562,0.0,659.5622
239,2026-03-09,calibration,65.9562,0.0,659.5622
240,2026-03-09,calibration,65.9562,0.0,659.5622
241,2026-03-09,calibration,65.9562,0.0,659.5622
242,2026-03-09,calibration,65.9562,0.0,659.5622
243,2026-03-09,calibration,65.9562,0.0,659.5622
244,2026-03-09,calibration,65.9562,0.0,659.5622
245,2026-03-09,calibration,65.9562,0.0,659.5622
246,2026-03-09,calibration,131.9124,0.0,659.5622
247,2026-03-09,calibration,131.9124,0.0,659.5622
248,2026-03-09,calibration,131.9124,0.0,659.5622
249,2026-03-09,calibration,131.9124,0.0,659.5622
250,2026-03-09,calibration,131.9124,0.0,659.5622
251,2026-03-09,calibration,131.9124,0.0,659.5622
252,2026-03-09,calibration,131.9124,0.0,659.5622
253,2026-03-09,calibration,131.9124,0.0,659.5622
254,2026-03-09,calibration,131.9124,0.0,659.5622
255,2026-03-09,calibration,131.9124,0.0,659.5622
256,2026-03-09,calibration,131.9124,0.0,659.5622
257,2026-03-09,calibration,131.9124,0.0,659.5622
258,2026-03-09,calibration,131.9124,0.0,659.5622
259,2026-03-09,calibration,131.9124,0.0,659.5622
260,2026-03-09,calibration,131.9124,0.0,659.5622
261,2026-03-09,calibration,131.9124,0.0,659.5622
262,2026-03-09,calibration,131.9124,0.0,659.5622
263,2026-03-09,calibration,131.9124,0.0,659.5622
264,2026-03-09,calibration,131.9124,0.0,659.5622
265,2026-03-09,calibration,131.9124,0.0,659.5622
266,2026-03-09,calibration,131.9124,0.0,659.5622
267,2026-03-09,calibration,131.9124,0.0,659.5622
268,2026-03-09,calibration,131.9124,0.0,659.5622
269,2026-03-09,calibration,131.9124,0.0,659.5622
270,2026-03-09,calibration,131.9124,0.0,659.5622
271,2026-03-09,calibration,131.9124,0.0,659.5622
272,2026-03-09,calibration,131.9124,0.0,659.5622
273,2026-03-09,calibration,131.9124,0.0,659.5622
274,2026-03-09,calibration,131.9124,0.0,659.5622
275,2026-03-09,calibration,131.9124,0.0,659.5622
276,2026-03-09,calibration,131.9124,0.0,659.5622
277,2026-03-09,calibration,131.9124,0.0,659.5622
278,2026-03-09,calibration,131.9124,0.0,659.5622
279,2026-03-09,calibration,131.9124,0.0,659.5622
280,2026-03-09,calibration,131.9124,0.0,659.5622
281,2026-03-09,calibration,131.9124,0.0,659.5622
282,2026-03-09,calibration,131.9124,0.0,659.5622
283,2026-03-09,calibration,131.9124,0.0,659.5622
284,2026-03-09,calibration,131.9124,0.0,659.5622
285,2026-03-09,calibration,131.9124,0.0,659.5622
286,2026-03-09,calibration,131.9124,0.0,659.5622
287,2026-03-09,calibration,131.9124,0.0,659.5622
288,2026-03-09,calibration,131.9124,0.0,659.5622
289,2026-03-09,calibration,131.9124,0.0,659.5622
290,2026-03-09,calibration,131.9124,0.0,659.5622
291,2026-03-09,calibration,131.9124,0.0,659.5622
292,2026-03-09,calibration,131.9124,0.0,659.5622
293,2026-03-09,calibration,131.9124,0.0,659.5622
294,2026-03-09,calibration,131.9124,0.0,659.5622
295,2026-03-09,calibration,131.9124,0.0,659.5622
296,2026-03-09,calibration,131.9124,0.0,659.5622
297,2026-03-09,calibration,131.9124,0.0,659.5622
298,2026-03-09,calibration,131.9124,0.0,659.5622
299,2026-03-09,calibration,131.9124,0.0,659.5622
300,2026-03-09,calibration,131.9124,0.0,659.5622
301,2026-03-09,calibration,131.9124,0.0,659.5622
302,2026-03-09,calibration,131.9124,0.0,659.5622
303,2026-03-09,calibration,131.9124,0.0,659.5622
304,2026-03-09,calibration,131.9124,0.0,659.5622
305,2026-03-09,calibration,131.9124,0.0,659.5622
306,2026-03-09,calibration,131.9124,0.0,659.5622
307,2026-03-09,calibration,131.9124,0.0,659.5622
308,2026-03-09,calibration,131.9124,0.0,659.5622
